M,I,v,S,A,E_f,V_i,V_f,Q_i,Q_f,Ierr,g_i,g_f,DOI
26,1,209.2271320000002,5.965653664255067e-29,5.689899999999999e-07,2009.4284850000001,0 0 0 0 0 3 0E1u,1 0 0 0 0 0 0A1g,6A2u  1E1g,5A2g  0A2g,0.0006708203932499369,39,33,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,209.6526219999996,1.6398954156403815e-32,9.9736e-06,4250.4544590000005,1 0 0 0 0 3 0E1u,2 0 0 0 0 0 0A1g,16A1u  1E1g,16A1g  0A1g,0.0005,33,33,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,210.15639700000065,8.199207591799264e-42,8.574600000000001e-07,8496.511031,0 2 0 1 0 1 0A1g,0 2 0 1 0 0 0E1u,29A2g  0A2g,30A2u  1E1g,0.0005,177,183,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,210.22366199999942,4.341194845049205e-32,1.0096e-05,4290.007653000001,1 0 0 0 0 3 0E1u,2 0 0 0 0 0 0A1g,17A2u  1E1g,17A2g  0A2g,0.0006403124237432849,105,105,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,210.2277809999996,2.511604718962921e-41,3.8564999999999996e-07,7756.161741,2 1 0 1 0 0 0E1g,0 2 0 1 0 1 0A2u,5A2g  1E1g,4A2u  0A1g,0.0010816653826391967,33,27,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,210.72528499999862,8.447983258818687e-41,1.2984000000000001e-06,7755.664237000001,2 1 0 1 0 0 0E1g,0 2 0 0 1 0 1E2u,5A2g  1E1g,4A2u  2E2g,0.0009219544457292887,33,27,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,210.7441120000003,3.117660482089147e-43,0.00014148,9970.700178000001,1 2 0 1 0 0 0E1u,1 2 0 1 0 0 0E1g,26A1u  1E1g,25A1g  1E1g,0.0009219544457292887,53,51,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,210.76790600000095,1.5535898357871474e-41,0.0029253,9781.780319,1 2 0 0 0 0 1E1g,1 2 0 0 0 0 1E1u,25A1g  1E1g,24A1u  1E1g,0.0009486832980505138,51,49,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,211.20335299999988,5.7158268476767504e-30,2.9611000000000003e-06,2657.699023,0 0 0 0 3 1 0A1u,1 0 0 0 0 0 1E1g,8A1u  0A1g,8A1g  1E1g,0.0009486832980505138,17,17,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,211.4929000000002,4.203109431089082e-40,1.462e-06,7729.394006,1 1 0 0 0 3 0E1g,0 2 0 0 0 0 1E1u,21A2g  1E1g,22A2u  1E1g,0.0012041594578792295,129,135,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,211.93696799999998,1.3492865894806052e-30,2.2403000000000003e-07,2622.853636,0 0 0 1 3 0 0E2u,1 0 0 0 0 0 1E1g,7A2u  2E2g,6A2g  1E1g,0.0006708203932499369,45,39,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,212.8324900000007,7.710638171735028e-40,8.0485e-05,8407.240549,1 1 0 0 0 0 4E2g,0 2 0 1 1 0 0E2u,19A2g  2E2g,18A2u  2E2g,0.0010630145812734648,117,111,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,215.04098099999965,2.3324675483837293e-30,2.6397000000000003e-06,2973.1595820000002,0 0 0 0 3 1 0A1u,1 0 0 0 0 0 1E1g,18A1u  0A1g,18A1g  1E1g,0.0009219544457292887,37,37,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,215.29828999999881,2.0700102323144595e-43,0.00016373,10093.68117,1 2 0 1 0 0 0E1u,1 2 0 1 0 0 0E1g,28A1u  1E1g,27A1g  1E1g,0.0008062257748298549,57,55,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,215.5269199999998,4.47863711512118e-31,5.4023e-08,2552.171827,1 0 0 1 0 0 0E1u,0 0 0 2 0 2 0A1g,7A2u  1E1g,7A2g  0A2g,0.0010816653826391967,45,45,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,215.76894100000027,8.307938940038211e-40,8.2635e-05,8393.27757,1 1 0 4 0 0 0A1g,0 2 0 0 2 0 0A2u,19A2g  0A2g,18A2u  0A1g,0.0007810249675906653,117,111,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,216.60706499999833,2.4748487901008344e-43,2.5837e-06,9412.618448000001,0 2 0 0 0 3 0E1u,1 2 0 0 0 0 0A1g,26A2u  1E1g,25A2g  0A2g,0.00058309518948453,159,153,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,217.63570200000004,6.122010152899154e-30,1.2183e-06,2622.853636,0 0 0 3 0 0 1E2u,1 0 0 0 0 0 1E1g,6A2u  2E2g,6A2g  1E1g,0.000848528137423857,39,39,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,217.69519500000024,3.883456986052709e-40,0.0010395,9123.218857,0 2 0 3 0 0 0E1u,0 2 0 3 0 0 0E1g,25A2u  1E1g,24A2g  1E1g,0.000565685424949238,153,147,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,218.31849599999987,2.5988602146315977e-30,1.4118e-06,2657.699023,0 0 0 3 0 0 1E2u,1 0 0 0 0 0 1E1g,8A1u  2E2g,8A1g  1E1g,0.0005,17,17,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,218.83408899999904,2.4081237467095258e-39,0.00010386,8020.61978,1 1 0 0 0 0 4E2g,0 2 0 0 1 0 1E2u,7A2g  2E2g,6A2u  2E2g,0.0007615773105863909,45,39,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,220.13438599999972,1.5460480486575978e-43,6.855500000000001e-08,8468.842253,2 1 0 0 0 0 2A2u,0 2 0 3 0 0 0E1g,6A2u  0A1g,6A2g  1E1g,0.0005,39,39,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,221.97318000000087,1.3893656352202302e-43,2.533e-06,9535.03501,0 2 0 0 0 3 0E1u,1 2 0 0 0 0 0A1g,28A2u  1E1g,27A2g  0A2g,0.0009899494936611666,171,165,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,222.40191400000003,9.969868299685321e-42,1.2751e-06,8239.453868999999,0 2 0 0 2 1 0E1u,1 1 0 0 0 0 4E2g,7A2u  1E1g,7A2g  2E2g,0.0005,45,45,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,222.64570699999967,1.73748319234744e-30,2.0672e-06,2973.1595820000002,0 0 0 3 0 0 1E2u,1 0 0 0 0 0 1E1g,18A1u  2E2g,18A1g  1E1g,0.0009219544457292887,37,37,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,225.31979599999977,2.4098402571250173e-44,5.9826e-08,9127.480512,0 2 0 0 2 0 1E1u,0 2 0 0 0 0 2A1g,29A2u  1E1g,29A2g  0A2g,0.0010816653826391967,177,177,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,226.7954690000006,2.7866062055453387e-41,2.9783999999999997e-06,8393.27757,1 1 0 0 0 0 4E2g,0 2 0 0 2 0 0A2u,19A2g  2E2g,18A2u  0A1g,0.0009219544457292887,117,111,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,227.10776000000033,8.417873522973465e-30,1.544e-06,2622.853636,0 0 0 0 3 1 0A1u,1 0 0 0 0 0 1E1g,7A2u  0A2g,6A2g  1E1g,0.0007810249675906653,45,39,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,228.56832099999883,7.276021107925851e-42,3.1876e-07,8010.885548,1 1 0 0 0 0 4E2g,0 2 0 0 0 0 2A2u,7A2g  2E2g,6A2u  0A1g,0.0006708203932499369,45,39,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,229.7456519999996,7.552469924881736e-36,1.2498999999999999e-06,5350.120874,1 1 0 0 0 0 0A1g,0 1 0 0 2 0 1E1u,14A1g  0A1g,14A1u  1E1g,0.0009219544457292887,29,29,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,231.62633099999948,1.495517909978496e-32,6.0268e-06,4061.9459880000004,1 0 0 0 0 3 0E1u,2 0 0 0 0 0 0A1g,11A1u  1E1g,10A1g  0A1g,0.0006708203932499369,23,21,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,231.88604699999996,2.5097873781280013e-40,0.00073616,9123.218857,0 2 0 0 2 1 0E1u,0 2 0 3 0 0 0E1g,25A2u  1E1g,24A2g  1E1g,0.0007211102550927978,153,147,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,233.17990099999952,5.874723208409152e-45,1.3156e-10,7761.745076,0 2 0 0 1 0 1E2u,1 1 0 2 0 2 0A1g,4A2u  2E2g,5A2g  0A2g,0.0009433981132056604,27,33,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,233.2132730000012,9.428506999096754e-38,0.00033986,7707.673632999999,1 1 0 0 0 3 0E1g,0 2 0 1 0 0 0E1u,21A2g  1E1g,20A2u  1E1g,0.0009848857801796104,129,123,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,236.423095000001,2.4065733266596616e-39,7.5865e-05,8129.602673,0 2 0 0 0 0 2A1g,0 2 0 0 1 0 1E2u,19A2g  0A2g,18A2u  2E2g,0.0007280109889280518,117,111,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,239.09455900000012,1.7287380113760327e-41,6.944e-07,8176.059587999999,0 2 0 0 1 0 1E2u,0 2 0 0 1 0 1E2g,19A2u  2E2g,20A2g  2E2g,0.000848528137423857,117,123,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,241.44214200000079,1.2484085092639216e-40,4.5494e-07,7699.444764,1 1 0 0 0 3 0E1g,2 1 0 0 0 0 0A2u,21A2g  1E1g,20A2u  0A1g,0.0009055385138137417,129,123,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,241.59003099999973,2.751366110184501e-40,1.0800999999999999e-05,7907.8068920000005,0 2 0 0 0 0 2A1g,1 1 0 2 0 0 2A2u,5A2g  0A2g,6A2u  0A1g,0.0008602325267042626,33,39,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,241.9427280000009,1.550806928416514e-41,5.0576e-07,8129.602673,2 1 0 1 0 0 0E1g,0 2 0 0 1 0 1E2u,19A2g  1E1g,18A2u  2E2g,0.0007280109889280518,117,111,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,243.48734400000103,2.3273071679620115e-42,2.998e-07,8239.453868999999,0 2 0 0 2 1 0E1u,1 1 0 0 0 0 4E2g,8A2u  1E1g,7A2g  2E2g,0.0005,51,45,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,246.05221900000015,1.8417986131013807e-31,2.4064e-07,2973.1595820000002,0 0 0 1 3 0 0E2u,1 0 0 0 0 0 1E1g,19A1u  2E2g,18A1g  1E1g,0.0009219544457292887,39,37,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,246.1818710000016,1.4260914455874784e-38,5.2266000000000004e-05,7694.705034999999,1 1 0 0 0 3 0E1g,1 1 0 3 0 0 0E1u,21A2g  1E1g,20A2u  1E1g,0.0009219544457292888,129,123,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,246.19787900000028,2.449397844811944e-43,8.6015e-09,7942.941211,0 2 0 0 1 0 1E2g,1 1 0 2 0 0 2A2u,7A2g  2E2g,8A2u  0A1g,0.0009219544457292887,45,51,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,246.33768299999974,5.51549930255036e-39,3.3086e-05,7515.407393,1 1 0 2 0 2 0A1g,1 1 0 0 0 3 0E1u,5A2g  0A2g,6A2u  1E1g,0.0008944271909999159,33,39,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,246.37889600000017,5.382801247207147e-35,1.0603e-05,5350.120874,0 1 0 0 3 0 0E1g,0 1 0 0 2 0 1E1u,13A1g  1E1g,14A1u  1E1g,0.0009219544457292887,27,29,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,249.14047200000005,1.2879582733670276e-40,2.2015e-06,7761.745076,0 2 0 0 0 0 2A2u,1 1 0 2 0 2 0A1g,6A2u  0A1g,5A2g  0A2g,0.001,39,33,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,250.6384049999997,1.7598030198584866e-39,3.0957e-06,7164.755183,1 1 0 0 0 3 0E1g,0 2 0 0 0 0 1E1u,3A2g  1E1g,4A2u  1E1g,0.0012041594578792295,21,27,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,250.65163500000017,1.317067118361521e-41,2.7971e-05,8998.085846,2 1 0 0 1 0 1E2g,1 2 0 0 0 0 0A2u,21A2g  2E2g,20A2u  0A1g,0.0003605551275463989,129,123,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,252.94142900000043,9.795880095510653e-44,7.8793e-08,8422.094558,1 2 0 0 0 0 0A1g,0 2 0 0 2 1 0E1u,3A2g  0A2g,4A2u  1E1g,0.0003605551275463989,21,27,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,253.74668500000007,1.4360285710078361e-33,6.782100000000001e-06,4828.026475,0 1 0 0 0 0 2A1g,0 1 0 1 0 1 0A2u,15A2g  0A2g,16A2u  0A1g,0.00058309518948453,93,99,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,254.24791899999946,3.997001028997815e-45,9.181399999999999e-11,7740.677058,0 2 0 0 1 0 1E2u,1 1 0 2 0 2 0A1g,4A2u  2E2g,3A2g  0A2g,0.0010295630140987001,27,21,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,255.39274699999987,2.893959891735892e-31,5.1642e-08,2552.171827,0 0 0 0 4 0 0A2u,0 0 0 2 0 2 0A1g,6A2u  0A1g,7A2g  0A2g,0.000848528137423857,39,45,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
